CustomerName,Class,Long,Latt,Gallons
1797-12-10 WEATHERFORD WELL SCREEN       ,All,-95.33967,29.862024,21
1797-13-10 WASHITA VALLEY ULSTER         ,All,-76.5021,41.849392,72
1797-13-10 WASHITA VALLEY ULSTER         ,OCTG                          ,-76.5021,41.849392,72
1797-14-10 WASHITA VALLEY ENTERPRISE     ,OCTG                          ,-104.29134,32.408311,26
1797-14-10 WASHITA VALLEY ENTERPRISE     ,All,-104.29134,32.408311,26
1797-6-10 WASHITA VALLEY ENTERPRISE     ,OCTG                          ,-97.49267,35.431361,181
1797-6-10 WASHITA VALLEY ENTERPRISE     ,All,-97.49267,35.431361,181
1797-8-10 WASHITA VALLEY ULSTER         ,All,-76.5021,41.849392,52
1797-8-10 WASHITA VALLEY ULSTER         ,OCTG                          ,-76.5021,41.849392,52
1800-1-10 GLASSMERE FUEL SERVICE        ,All,-79.73603,40.713078,299945
1800-1-10 GLASSMERE FUEL SERVICE        ,FUEL OIL                      ,-79.73603,40.713078,299945
180-1-10 ALLEN OIL SALES               ,KENSOL NAPHTHAS               ,-76.76764,39.962821,19644
180-1-10 ALLEN OIL SALES               ,All,-76.76764,39.962821,19644
1807-1-10 GOETZ ENERGY CORPORATION      ,FUEL OIL                      ,-78.8631,43.001907,790789
1807-1-10 GOETZ ENERGY CORPORATION      ,All,-78.8631,43.001907,790789
1808-701-10 GREENCHEM DIST. CANADA        ,All,-79.3784,43.649,382954
1808-701-10 GREENCHEM DIST. CANADA        ,KENSOL NAPHTHAS               ,-79.3784,43.649,382954
1822-1-10 GROVES INDUSTRIAL SUPPLY CO.  ,All,-95.53337,29.878345,3347
1822-1-10 GROVES INDUSTRIAL SUPPLY CO.  ,OCTG                          ,-95.53337,29.878345,3347
1833-1-10 GREAT LAKES LUBRICANTS        ,KENSOL DISTILLATES HT         ,-83.04255,42.639777,12783
1833-1-10 GREAT LAKES LUBRICANTS        ,All,-83.04255,42.639777,12783
